feature,modality,family,description,kind
v3__sleep__paper_bedtime_noon_unwrapped__rolling_cv7,sleep,physiology,sleep__paper_bedtime_noon_unwrapped: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__sleep__paper_bedtime_noon_unwrapped__rolling_range7,sleep,physiology,sleep__paper_bedtime_noon_unwrapped: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__sleep__paper_bedtime_noon_unwrapped__stv14,sleep,physiology,sleep__paper_bedtime_noon_unwrapped: within-person stv14; calendar windows where applicable,temporal_v3
v3__sleep__paper_bedtime_noon_unwrapped__rolling_cv14,sleep,physiology,sleep__paper_bedtime_noon_unwrapped: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__sleep__paper_bedtime_noon_unwrapped__rolling_range14,sleep,physiology,sleep__paper_bedtime_noon_unwrapped: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__sleep__paper_bedtime_noon_unwrapped__stv28,sleep,physiology,sleep__paper_bedtime_noon_unwrapped: within-person stv28; calendar windows where applicable,temporal_v3
v3__sleep__paper_bedtime_noon_unwrapped__rolling_cv28,sleep,physiology,sleep__paper_bedtime_noon_unwrapped: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__sleep__paper_bedtime_noon_unwrapped__rolling_range28,sleep,physiology,sleep__paper_bedtime_noon_unwrapped: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__mean,sleep,physiology,sleep__paper_wake_hour: within-person mean; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__std,sleep,physiology,sleep__paper_wake_hour: within-person std; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__median,sleep,physiology,sleep__paper_wake_hour: within-person median; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__trimmed_mean,sleep,physiology,sleep__paper_wake_hour: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__mode,sleep,physiology,sleep__paper_wake_hour: within-person mode; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__minimum,sleep,physiology,sleep__paper_wake_hour: within-person minimum; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__maximum,sleep,physiology,sleep__paper_wake_hour: within-person maximum; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__range,sleep,physiology,sleep__paper_wake_hour: within-person range; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__mad,sleep,physiology,sleep__paper_wake_hour: within-person mad; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__cv,sleep,physiology,sleep__paper_wake_hour: within-person cv; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__skew,sleep,physiology,sleep__paper_wake_hour: within-person skew; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__kurtosis,sleep,physiology,sleep__paper_wake_hour: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__q05,sleep,physiology,sleep__paper_wake_hour: within-person q05; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__q95,sleep,physiology,sleep__paper_wake_hour: within-person q95; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__rmssd,sleep,physiology,sleep__paper_wake_hour: within-person rmssd; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__moving_range,sleep,physiology,sleep__paper_wake_hour: within-person moving_range; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__lag1,sleep,physiology,sleep__paper_wake_hour: within-person lag1; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__trend,sleep,physiology,sleep__paper_wake_hour: within-person trend; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__bin_variance4,sleep,physiology,sleep__paper_wake_hour: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__bin_change4,sleep,physiology,sleep__paper_wake_hour: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__stv7,sleep,physiology,sleep__paper_wake_hour: within-person stv7; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__rolling_cv7,sleep,physiology,sleep__paper_wake_hour: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__rolling_range7,sleep,physiology,sleep__paper_wake_hour: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__stv14,sleep,physiology,sleep__paper_wake_hour: within-person stv14; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__rolling_cv14,sleep,physiology,sleep__paper_wake_hour: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__rolling_range14,sleep,physiology,sleep__paper_wake_hour: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__stv28,sleep,physiology,sleep__paper_wake_hour: within-person stv28; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__rolling_cv28,sleep,physiology,sleep__paper_wake_hour: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__sleep__paper_wake_hour__rolling_range28,sleep,physiology,sleep__paper_wake_hour: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__mean,sleep,physiology,sleep__paper_interval_hours: within-person mean; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__std,sleep,physiology,sleep__paper_interval_hours: within-person std; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__median,sleep,physiology,sleep__paper_interval_hours: within-person median; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__trimmed_mean,sleep,physiology,sleep__paper_interval_hours: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__mode,sleep,physiology,sleep__paper_interval_hours: within-person mode; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__minimum,sleep,physiology,sleep__paper_interval_hours: within-person minimum; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__maximum,sleep,physiology,sleep__paper_interval_hours: within-person maximum; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__range,sleep,physiology,sleep__paper_interval_hours: within-person range; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__mad,sleep,physiology,sleep__paper_interval_hours: within-person mad; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__cv,sleep,physiology,sleep__paper_interval_hours: within-person cv; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__skew,sleep,physiology,sleep__paper_interval_hours: within-person skew; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__kurtosis,sleep,physiology,sleep__paper_interval_hours: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__q05,sleep,physiology,sleep__paper_interval_hours: within-person q05; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__q95,sleep,physiology,sleep__paper_interval_hours: within-person q95; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__rmssd,sleep,physiology,sleep__paper_interval_hours: within-person rmssd; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__moving_range,sleep,physiology,sleep__paper_interval_hours: within-person moving_range; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__lag1,sleep,physiology,sleep__paper_interval_hours: within-person lag1; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__trend,sleep,physiology,sleep__paper_interval_hours: within-person trend; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__bin_variance4,sleep,physiology,sleep__paper_interval_hours: within-person bin_variance4; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__bin_change4,sleep,physiology,sleep__paper_interval_hours: within-person bin_change4; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__stv7,sleep,physiology,sleep__paper_interval_hours: within-person stv7; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__rolling_cv7,sleep,physiology,sleep__paper_interval_hours: within-person rolling_cv7; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__rolling_range7,sleep,physiology,sleep__paper_interval_hours: within-person rolling_range7; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__stv14,sleep,physiology,sleep__paper_interval_hours: within-person stv14; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__rolling_cv14,sleep,physiology,sleep__paper_interval_hours: within-person rolling_cv14; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__rolling_range14,sleep,physiology,sleep__paper_interval_hours: within-person rolling_range14; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__stv28,sleep,physiology,sleep__paper_interval_hours: within-person stv28; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__rolling_cv28,sleep,physiology,sleep__paper_interval_hours: within-person rolling_cv28; calendar windows where applicable,temporal_v3
v3__sleep__paper_interval_hours__rolling_range28,sleep,physiology,sleep__paper_interval_hours: within-person rolling_range28; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__mean,sleep,physiology,sleep__paper_midpoint_sin: within-person mean; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__std,sleep,physiology,sleep__paper_midpoint_sin: within-person std; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__median,sleep,physiology,sleep__paper_midpoint_sin: within-person median; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__trimmed_mean,sleep,physiology,sleep__paper_midpoint_sin: within-person trimmed_mean; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__mode,sleep,physiology,sleep__paper_midpoint_sin: within-person mode; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__minimum,sleep,physiology,sleep__paper_midpoint_sin: within-person minimum; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__maximum,sleep,physiology,sleep__paper_midpoint_sin: within-person maximum; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__range,sleep,physiology,sleep__paper_midpoint_sin: within-person range; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__mad,sleep,physiology,sleep__paper_midpoint_sin: within-person mad; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__cv,sleep,physiology,sleep__paper_midpoint_sin: within-person cv; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__skew,sleep,physiology,sleep__paper_midpoint_sin: within-person skew; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__kurtosis,sleep,physiology,sleep__paper_midpoint_sin: within-person kurtosis; calendar windows where applicable,temporal_v3
v3__sleep__paper_midpoint_sin__q05,sleep,physiology,sleep__paper_midpoint_sin: within-person q05; calendar windows where applicable,temporal_v3
